name,south_lat,west_lng,north_lat,east_lng,color
Mission District,37.7480,-122.4230,37.7655,-122.4095,#ef4444
SoMa,37.7750,-122.4140,37.7900,-122.3950,#374151
Tenderloin,37.7820,-122.4185,37.7880,-122.4090,#dc2626
Nob Hill,37.7905,-122.4190,37.7965,-122.4080,#059669
North Beach,37.7990,-122.4130,37.8060,-122.4030,#0ea5e9
Castro,37.7550,-122.4430,37.7660,-122.4300,#8b5cf6
Haight-Ashbury,37.7660,-122.4530,37.7725,-122.4400,#d946ef
Sunset District,37.7380,-122.5080,37.7620,-122.4630,#22c55e
Richmond District,37.7730,-122.5090,37.7860,-122.4570,#eab308
Bayview-Hunters Pt,37.7080,-122.3920,37.7350,-122.3750,#f97316
Excelsior,37.7160,-122.4420,37.7380,-122.4150,#84cc16
Twin Peaks,37.7450,-122.4600,37.7570,-122.4410,#6366f1
Marina,37.8000,-122.4480,37.8080,-122.4270,#3b82f6
Pacific Heights,37.7890,-122.4450,37.7975,-122.4230,#06b6d4
Financial District,37.7910,-122.4050,37.7975,-122.3960,#10b981
Chinatown,37.7920,-122.4100,37.7960,-122.4040,#f59e0b
